hint,[名]ほのめかし、ヒント
mature,[形]成熟した、分別のある
maximum,[名]最大値
mayor,[名]市長
meadow,[名]草地
meanwhile,[副]その間に
measurement,[名]測量，寸法
mechanical,[形]機械の
mechanism,[名]機械装置、仕組み
medium,[名]手段、媒体
mend,[動]直す
mercy,[名]慈悲、寛大さ
mere,[形]ほんの，単なる
merrily,[副]陽気に
mess,[名]乱れた状態
messenger,[名]使者
mighty,[形]力強い
mill,[名]製作所、製粉場
millionaire,[名]大富豪
minimum,[名]最小値
minority,[名]少数派、少数
miracle,[名]奇跡
miserable,[形]みじめな
misery,[名]悲惨さ
mist,[名]霧
mistress,[名]女主人
misunderstand,[動]誤解する
mixed,[形]混ざった
mode,[名]方法，様式
modest,[形]謙虚な
monitor,[動]絶えず監視する
monument,[名]記念碑
muddy,[形]泥でよごす
multiply,[動]増やす、掛ける
mutual,[形]お互いの
namely,[副]すなわち
nap,[名]うたた寝
nasty,[形]汚い、不快な
nationality,[名]国籍
nearby,[形]すぐ近くの
necessarily,[副]必然的に、必ず
negotiation,[名]交渉
nevertheless,[副]それにもかかわらず
newly,[副]最近
normally,[副]正常に、いつもは
northeast,[名]北東部
northwest,[名]北西部
notion,[名]概念、意見
nowadays,[副]このごろは
nuclear,[名]核兵器
nursing,[名]看護
oak,[名]オーク
oasis,[名]オアシス
obedient,[形]従順な
obey,[動]従う
obtain,[動]取得する、達成する
obviously,[副]明らかに
occasional,[形]時折の、時々の
occasionally,[副]時々
occupation,[名]職業
oily,[形]油っこい
openly,[形]公然と
opposition,[名]反対、対立
organize,[動]組織する
origin,[名]起源
originally,[副]もとは、元来
outcome,[名]成果、結果
outdoors,[副]野外で
outer,[形]外側の、外部の
outline,[名]概要，あらまし
output,[名]生産高、出力
outstanding,[形]目立つ、顕著な
outward,[副]外側に
overall,[形]全体の
overcome,[動]克服する
overlook,[動]見渡せる
overseas,[副]海外へ
owl,[名]フクロウ
ox,[名]牛、雄牛
oxygen,[名]酸素
packet,[名]小さな束、小包
panel,[名]板、枠
panic,[名]パニック
paragraph,[名]段落
parallel,[形]平行の
parliament,[名]議会、国会
parrot,[名]オウム
partial,[形]部分的な
passing,[名]通過
passive,[形]受身の，消極的な
pavement,[名]舗装道路
peasant,[名]農民、小作農
peculiar,[形]特有の、奇妙な
penalty,[名]罰
perceive,[動]知覚する、気がつく
personally,[副]自分としては
persuade,[動]説得する
philosophy,[名]哲学
physician,[名]医師、内科医
pine,[名]松
pioneer,[名]開拓者、先駆者
pit,[名]ピット、くぼみ
pitch,[動]投げる
planner,[名]設計者、計画者
plot,[名]たくらみ、陰謀
poisonous,[形]有毒な
pollution,[名]公害、汚染
poorly,[副]貧しく、乏しく
popularity,[名]人気
porter,[名]荷物運搬人、ポーター
portion,[名]割り当て、取り分
portrait,[名]肖像画
possession,[名]所有物
postal,[形]郵便の
poster,[名]ポスター
postpone,[動]延期する
potential,[名]可能性
poverty,[名]貧困
preach,[動]説く、説教する
precise,[形]正確な
preparation,[名]準備
preserve,[動]保存する
pressing,[形]緊急の
previously,[副]以前は
primary,[形]初頭の、原始的な
primitive,[形]始の，初期の
priority,[名]優先
privacy,[名]プライバシー
privilege,[名]特権、特典
procedure,[名]処置、手順
proceed,[動]進む
profitable,[形]有益な、収益の高い
prolong,[動]延長する
promote,[動]促進する、寄与する
promotion,[名]昇進
pronounce,[動]発音する
pronunciation,[名]発音
proportion,[名]割合、釣合い
prose,[名]散文
prospect,[名]見通し、見込み
prosperity,[名]繁栄
proudly,[副]誇らしげに
province,[名]行政区画、範囲
publication,[名]出版、発行
publicly,[副]公然と
puppy,[名]子犬
purchase,[動]購入する
purely,[副]まったく，単に
pursue,[動]追う、追求する
pursuit,[名]追撃、追求
quantity,[名]量
quit,[動]やめる
radical,[形]急進的な、過激な
rage,[名]激怒
rating,[名]評価
rattle,[動]がらがらと鳴る
razor,[名]かみそり
readily,[副]すぐに、快く
realistic,[形]現実的な
rear,[名]最後部、後方
rebel,[動]反対する
recall,[動]思い出す
receiver,[名]受信機
reception,[名]受付
recognition,[名]認識
recommendation,[名]推薦、おすすめ
recording,[名]録音
recovery,[名]回復
reduction,[名]縮小、割引
reference,[名]参考、言及
regarding,[前]に関して
region,[名]部分、地方
regularly,[副]定期的に
rejoice,[動]喜ぶ
related,[形]関連がある
relatively,[副]相対的に
relaxed,[形]くつろいだ
remark,[動]言う
remarkable,[形]注目すべき，驚くべき
remote,[形]遠く離れた
repay,[動]返金する
repeated,[形]反復された
replacement,[名]代わりのもの
representative,[形]代表する，代理の
republic,[名]共和国
reputation,[名]評判、名声
requirement,[名]必要条件
rescue,[動]救出する
resemble,[動]似ている
residence,[名]住まい
resident,[形]住み込みの
resist,[動]抵抗する
resistance,[名]抵抗力
resolution,[名]決意、解決
resolve,[動]決心する、決定する
resort,[名]行楽地
resource,[名]資源、資金
restore,[動]修復する、回復する
restrain,[動]抑制する
restraint,[名]抑制、自制
retain,[動]保持する
retired,[形]退職した
reveal,[動]明らかにする
revenge,[名]復讐、復讐心
reverse,[名]逆
rewrite,[動]書き直す
rifle,[名]ライフル銃
ripe,[形]熟した
ruling,[名]決定、裁定
rural,[形]田舎の
sacrifice,[名]いけにえ、犠牲
sadness,[名]悲しみ
saint,[名]聖人、聖…
salmon,[名]サケ、鮭
salty,[形]塩気のある
satisfaction,[名]満足、喜び
satisfied,[形]満足した
scandal,[名]スキャンダル
scarcely,[副]ほとんど～ない
scare,[動]怖がらせる
scared,[形]おびえた
scatter,[動]まき散らす
scenery,[名]景色
scent,[名]香り
scheme,[名]基本構想、計画
scholar,[名]学者
scholarship,[名]学問、奨学金
scold,[動]叱る
scout,[名]偵察、スカウト
scratch,[動]ひっかく
seal,[名]封印
searching,[形]綿密な，徹底的な
secondary,[形]第二次的なもの
secretly,[副]ひそかに
sector,[名]部門、分野
secure,[動]安全を確保する
seize,[動]つかむ
sensation,[名]大評判
session,[名]開会、開廷
settlement,[名]解決、和解
severe,[形]激しい、深刻な
sew,[動]縫う
shallow,[形]浅い
shelter,[名]避難所、隠れ場
shepherd,[名]羊飼い
shield,[動]保護する，かばう 
shift,[名]変化、変更
shocked,[形]衝撃を受けた
shortage,[名]不足
shortly,[副]間もなく
sidewalk,[名]歩道
significant,[形]重要な、意義深い
sin,[名]罪
site,[名]現場、場所
skier,[名]スキーヤー
skillful,[形]熟練した
skip,[動]跳ねる
sleeve,[名]袖
slim,[形]ほっそりした
slipper,[名]スリッパ
smash,[動]粉砕する
snack,[名]軽食
snap,[動]パチンと鳴らす
software,[名]ソフトウェア
solution,[名]答え、解決策
sooner,[副]より早く
sorrow,[名]悲しみ、悲痛
source,[名]源、原因
southeast,[名]南東、南東部
southwest,[名]南西、南西部
spade,[名]すき
spark,[名]火花
species,[名]（生物の）種
spectacle,[名]光景，美観，壮観
spill,[動]こぼす、もらす
spiritual,[形]精神の
spite,[名]悪意
splendid,[形]素晴らしい
spokesman,[名]代弁者、スポークスマン
sponge,[名]スポンジ
sponsor,[名]スポンサー
spoonful,[名]さじ一杯
spray,[動]スプレーを吹きかける
squeeze,[動] 圧搾する
stable,[形]安定した
stake,[名]利害関係
stall,[名]小屋、露店
stare,[動]じっと見つめる
starve,[動]飢える
status,[名]地位、身分
steamer,[名]蒸気船
steep,[形]険しい
stem,[名]茎（くき）
stew,[名]シチュー
sticky,[形]ねばねばした
sting,[動]刺す
stir,[動]かき回す
stormy,[形]暴風の、激しい
strain,[名]緊張
strangely,[副]妙に、変に
strictly,[副]厳格に
striking,[形]目立つ
strip,[名]細長いきれ
strongly,[副]強く
stylist,[名]スタイリスト
submit,[動]提出する
substance,[名]物質
suburb,[名]郊外、近郊
summit,[名]頂、首脳会談
sunflower,[名]ヒマワリ
surrender,[名]降参、降伏
surrounding,[形]周囲の
survey,[動]調査する
sword,[名]剣、刀
sympathetic,[形]同情的な
tablespoon,[名]大さじ一杯
tame,[形]飼い慣らされた
task,[名]仕事
technological,[形]科学技術の
telling,[形]多くを語る、意味あり気な
temptation,[名]誘惑
tendency,[名]傾向
tender,[形]やわらかい
tense,[名]時制
tension,[名]緊張
territory,[名]領土、地域
terror,[名]恐怖、恐ろしさ
thickly,[副]厚く
thirst,[名]喉の渇き
thorough,[形]徹底的な、完全な
thoroughly,[副]完全に
thousandth,[形]千番目の
thrill,[動]わくわくさせる、感動させる
tide,[名]潮、潮流
tidy,[形]きちんとした
timely,[形]時宜を得た
token,[名]しるし
tomb,[名]墓
trace,[名]跡、痕跡
tractor,[名]牽引車、トラクター
trail,[名]跡、痕跡
trainer,[名]訓練する人
translation,[名]翻訳
transportation,[名]輸送、交通　
treatment,[名]待遇、扱い
treaty,[名]条約
tribe,[名]部族
triple,[動]3倍にする
triumph,[名]勝利、大成功
tropical,[形]熱帯の
turning,[名]回転、曲がり角
tutor,[名]家庭教師
uncertain,[形]不確実な
unclear,[形]はっきりしない
uncomfortable,[形]心地の悪い
underline,[動]強調する
undoubtedly,[副]疑いようもなく
unfortunately,[副]残念ながら
unite,[動]一体となる
united,[形]結合した、団結した
universal,[形]一般的な、普遍的な
unkind,[形]不親切な
unlikely,[形]ありそうもない
unnecessary,[形]無益な、不必要な
upright,[形]まっすぐ立った
upward,[形]上向きの
urge,[動]促す、勧める
urgent,[形]緊急の
vain,[形]うぬぼれの強い
van,[名]ワゴン車、バン
vanilla,[名]バニラ
vanish,[動]消える
variation,[名]変化
vary,[動]変化する
venture,[名]冒険的事業，投機的企業，ベンチャー 
verse,[名]韻文
version,[名]版、バージョン
vessel,[名]船
via,[前]～を通って
vice,[名]悪徳
villager,[名]村人
virtue,[名]美徳、徳
visible,[形]見える
volunteer,[名]ボランティア
voyage,[名]航海、船旅
wander,[動]歩き回る、ぶらつく
warmly,[副]熱心に，熱烈に
warmth,[名]暖かさ
weaken,[動]弱る、衰弱する
weave,[動]織る、編む
web,[名]くもの巣、編物
weed,[名]雑草
welfare,[名]福祉、生活保護
whip,[動]むち打つ
whisper,[動]ひそひそと話す
wicked,[形]邪悪な，不道徳な，不正な
width,[名]幅
wilderness,[名]原野、荒野
wildlife,[名]野生生物
willingly,[副]喜んで
windy,[形]風の強い
wink,[動]ウインクをする
wisdom,[名]知恵、賢明さ
worn,[形]擦り切れた、使い古しの
worrying,[形]心配な、やっかいな
worthy,[形]ふさわしくて
yawn,[動]あくびをする
yearly,[形]年一回の、毎年の
yield,[動]産する
youngster,[名]子供、若者
youthful,[形]若々しい
