overdue,[形]期日を過ぎた
nutty,[形]気の狂った
obese,[形]肥満の
obnoxious,[形]不快な
obscenity,[名]わいせつ
obsessive,[名]妄想を持った人
omen,[名]前兆
ominous,[形]不吉な、不気味な
onslaught,[名]猛攻撃
ooze,[名]泥
opaque,[名]不透明体
opium,[名]アヘン
optic,[名]目、光学の
opus,[名]著作、作品
oracle,[名]神のお告げ
ordinance,[名]法令
orgy,[名]乱飲乱舞の酒宴
outspoken,[形]率直な
outstrip,[動]追い抜く
ovation,[名]熱烈な歓迎
overblown,[形]誇張した
overdose,[名]過剰投与
overly,[副]過度に，非常に
overriding,[形]決定的な、最も重要な
overshadow,[動]影を薄くさせる
overture,[名]交渉開始，提案
palatable,[形]口に合う、趣味にかなう
palpable,[形]容易に分かる、明白な
pamper,[名]甘やかす
panther,[名]ヒョウ、クロヒョウ
paranoia,[名]被害妄想
parity,[名]等価、同等
parochial,[形]視野の狭い
pathology,[名]病理学
patriarch,[名]家長
patrician,[名]貴族
patronage,[名]ご愛顧
patronize,[動]ひいきにする
payroll,[名]給与、従業員名簿
peddle,[動]売り歩く
pedigree,[名]系図、家系、系統
penchant,[名]強い好み、傾向
perennial,[名]多年生植物、続くもの
perimeter,[名]周囲
perjury,[名]偽証
perk,[名]手当、特権
perky,[形]意気揚々とした
pernicious,[形]破壊的な、致命的な
perpetrate,[動]犯す
persona,[名]ペルソナ
petal,[名]花びら
pew,[名]座席
phantom,[名]幽霊、幻、幻影
pharmaceutical,[名]薬
philanthropy,[名]慈善活動
picket,[名]杭、ピケ
pilgrimage,[名]巡礼の旅
pimp,[名]ポン引き
pitfall,[名]落とし穴
pivot,[名]軸頭、中心点、要点
pivotal,[形]重要な
placate,[動]静める、なだめる
placebo,[名]偽薬
plagiarism,[名]盗作
platoon,[名]小隊
plaza,[名]広場
pleading,[名]弁論、訴答
plush,[名]ぜいたくなもの
plywood,[名]合板、ベニヤ板
pneumonia,[名]肺炎
pod,[名]さや
poignant,[形]心を打つ、胸を刺すような
poised,[形]落ち着いた、自制心のある
pollen,[名]花粉
pore,[名]毛穴
portal,[名]門
posh,[形]豪華な、スマートな
precinct,[名]管区、選挙区
precocious,[形]ませた、早咲きの
precursor,[名]先駆者、前兆
predatory,[形]略奪する
predicament,[名]苦境
prelude,[名]前ぶれ，前兆
preposterous,[形]非常識な、不合理な
primate,[名]霊長類
pristine,[形]手つかずの
probation,[名]執行猶予
procurement,[名]獲得
prodigious,[形]けた外れの、驚異的な
prodigy,[名]神童
profane,[動]神聖を汚す
proffer,[動]申し出る
proliferate,[動]激増する、繁殖する
prolific,[形]多作の、多産な
pronounced,[形]顕著な
proprietary,[名]所有者
proprietor,[名]所有者
prostitution,[名]売春、変節
protagonist,[名]主人公、主唱者
prowess,[名]勇気
pseudo,[形]偽りの
pseudonym,[名]ペンネーム，偽名
psyche,[名]精神，心
pun,[名]だじゃれ
puncture,[動]パンクする
pundit,[名]専門家、評論家
punitive,[形]懲罰的な、刑罰の
putative,[形]推定上の
putt,[名]パット
quadruple,[名]4倍
quagmire,[名]苦境，窮地，泥沼
quantum,[名]量、量子
quash,[動]鎮める
quell,[動]抑える、鎮める
quintessential,[形]典型的な、真髄の
quip,[名]警句、辛辣なことば、皮肉
quirk,[名]奇癖
rabid,[形]過激な、激しい、狂暴な
raider,[名]乗っ取り屋
rampant,[形]蔓延した
rampart,[名]城壁、防御
rancor,[名]深い恨み
ransom,[名]身代金
rant,[名]大言壮語、怒号
rapport,[名]関係、信頼
rapprochement,[名]友好回復
rationale,[名]理論的解釈、根本的理由
raucous,[形]耳障りな、騒々しい
reactionary,[名]反動主義者
rebuff,[名]そっけない拒絶
recalcitrant,[形]反抗的な、扱いにくい
reconnaissance,[名]調査、偵察
recoup,[動]取り戻す、弁償する
rectitude,[名]正直
reflex,[名]反射的な動作
regal,[形]帝王の、王にふさわしい
regimen,[名]摂生
registry,[名]登記所
reinstate,[動]復帰させる
relapse,[名]逆戻り
relinquish,[動]（権利などを）放棄する
remorse,[名]後悔
rendezvous,[名]会う約束
rendition,[名]演奏、表現、翻訳
renegade,[名]裏切り者、背教者
renovate,[動]元気を回復させる
replenish,[動]補給する
replicate,[動]複写する
reprimand,[名]懲戒、非難、叱責
requisite,[名]必需品、必要条件
resilient,[形]弾力のある
resonant,[形]反響する、共鳴する
respectability,[名]りっぱな態度
respiratory,[形]呼吸の
respite,[名]一休み
resurrect,[動]復活させる
resurrection,[名]復活
retaliate,[動]仕返しをする
retaliation,[名]報復
retina,[名]網膜
retribution,[名]報い、応報、天罰
revamp,[動]改良する
reverberate,[動]鳴り響く
revile,[動]悪口を言う
revitalize,[動]生気を回復させる
revoke,[名]取消し
revulsion,[名]強い嫌悪、反感
rife,[形]広まっている
rigor,[名]厳格
rivet,[名]リベット
roach,[名]ゴキブリ
rodent,[名]齧歯動物、ネズミ
romp,[名]跳ね回ること
roster,[名]名簿
rout,[名]総くずれ
rove,[名]歩きまわること
rover,[名]放浪者
rowdy,[形] 騒々しい
rue,[動]後悔する
rueful,[形]悲しそうな
rupture,[名]破裂
sag,[動]下落する
salvage,[名]海難救助
sanctity,[名]高潔、神聖、尊厳
sanguine,[形]快活な、楽天的な
sardonic,[形]冷笑的な、あざけりの
savior,[名]救済者
scalp,[名]頭皮
scathing,[形]痛烈な
schizophrenia,[名]精神分裂症
scoff,[名]あざけり
scour,[名]磨くこと
scourge,[名]災難
screech,[名]金切り声
scrupulous,[形]几帳面な、綿密な
scuttle,[動]あわてて走る
secede,[動]脱退する
sectarian,[名]党派心の強い人
sedative,[名]鎮静剤
seductive,[形]魅惑的な
seedy,[形]種の多い
seep,[動]しみ出る
seismic,[形]地震の
seminal,[形]独創性に富んだ、重大な
seminary,[名]神学校
sewage,[名]下水
sexist,[名]性差別論者
shackle,[名]足かせ、束縛
shear,[名]ずれ、せん断
sheen,[名]輝き
shingle,[名]屋根板
shoddy,[名]まがい物
sickle,[名]かま
sideline,[名]副業
sierra,[名]連峰
sire,[名]雄親
sizable,[形]かなり大きな
skinner,[名]皮を剥ぐ人
skirmish,[名]小競り合い
sleazy,[形]安っぽい
sleek,[動]なめらかにする
sliver,[名]小魚の片身、薄片
slouch,[名]前かがみ
sludge,[名]どろどろした沈澱物
slur,[名]中傷
smirk,[名]にやにや笑い、作り笑い
smite,[動]襲う
smug,[形]気取った
snag,[動]妨げる
snarl,[動](歯をむきだして)うなる 
sodium,[名]ナトリウム 《記号 Na》
solace,[名]慰め、癒し
somber,[形]陰気な，憂うつな
sordid,[形]不潔な、みすぼらしい
sparse,[形]まばらな
spate,[名]言葉などのほとばしり 
spearhead,[名]槍の穂先、先鋒
specter,[名]幽霊、こわいもの
spinal,[形]脊柱の
splice,[名]継いだもの、接ぎ木
spook,[名]スパイ、幽霊
sporadic,[形]散発性の、時々起こる
spree,[名]ばか騷ぎ、酒宴
sprint,[名]短距離競走
spurn,[名]にべもない拒絶
sputter,[動]早口でしゃべる
squabble,[名]口論
squadron,[名]騎兵大隊、戦隊
squander,[動]浪費する
squeal,[名]悲鳴
squint,[名]横目、斜視
squirm,[名]もがき、もじもじすること
stagnant,[形]よどんだ、臭い
stagnation,[名]停滞、不況
stalemate,[名]行き詰まり
stalwart,[名]忠実な党員
stately,[形]威厳のある
staunch,[形]頑丈な
stave,[動]突き破る
stealth,[名]秘かなやり方、内密
stein,[名]ビール用のジョッキ
stellar,[形]星の、恒星の
stigma,[名]不名誉、汚名
stint,[名]一定期間の仕事
stockpile,[名]蓄積
strew,[動]まき散らす
stricken,[形]苦しんでいる、襲われた
strident,[形]耳ざわりな、あくどい
stringent,[形]厳しい、厳重な
stronghold,[名]要塞
stunt,[名]離れわざ，スタント
subversive,[形]破壊する
subvert,[動]打倒する、堕落させる
succumb,[動]屈服する
sumptuous,[形]豪華な
supplant,[動]取って代わる
supple,[形]しなやかな
surcharge,[名]割り増し料金
surrogate,[名]代理人
susceptible,[形]影響されやすい
swagger,[名]いばり散らすこと
sweeping,[名]掃除、一掃すること
swoon,[名]失神
tacit,[形]暗黙の
tally,[名]計算、勘定
tamper,[動]勝手に変更する
tangled,[形]もつれた
tantalizing,[形]じれったい
tantrum,[名]癇癪
tarnish,[名]錆び
taunt,[名]あざけり
taut,[形]はりつめた
tawdry,[名]けばけばしい装飾
teem,[動]満ちている
tenacious,[形]頑強な
tenet,[名]主義、教義
tenor,[名]方針、大意
tenuous,[形]薄弱な、微細な
tepid,[形]なまぬるい
terrain,[名]地域、地形、地勢
terse,[形]簡潔な
testimonial,[名]証拠、証明書、推薦状
theological,[形]神学の
throttle,[名]絞り弁、気管
thug,[名]殺し屋、悪党
thwart,[動]妨害する
tier,[名]横並び、層
tinge,[名]色合い、～じみたところ
tome,[名]（重い・学術的な）本
torpedo,[名]魚雷、発破
torso,[名]胴
touchy,[形]怒りっぽい、敏感な
tout,[名]客引き、予想屋
towering,[形]高くそびえる
township,[名]郡区
trajectory,[名]軌道
translucent,[形]半透明の
treason,[名]反逆罪、不信、裏切り
tremor,[名]震動、震え
tribune,[名]人民の保護者
trooper,[名]騎兵
troupe,[名]（劇などの）一座
truce,[名]停戦
trudge,[名]てくてく歩き
tuberculosis,[名]結核、肺結核
tumultuous,[形]騒々しい、騒動を起こす
turner,[名]ろくろ師、旋盤工
turnout,[名]出席者、観客
ubiquitous,[形]至る所に存在する
ultimatum,[名]最後通告
uncanny,[形]異様な、不可解な
unearth,[動]掘り出す
unilateral,[形]一方的な
unravel,[動]ほぐれる、解明される
unruly,[形]手に負えない、荒れ狂う
upbeat,[名]楽天的な
upbringing,[名]養育、しつけ
uproar,[名]大騒ぎ、騒音
upshot,[名]結果
upstart,[名]成り上がり者
vandalism,[名]故意の破壊、蛮行
vanguard,[名]先駆者、指導的地位
veer,[動]方向を変える
vengeance,[名]復讐、報復
verification,[名]確認、立証、検証、証明
veritable,[形]本当の、真実の
vernacular,[名]土地ことば
vibrant,[形]鼓動して
vie,[動]競う
vigil,[名]見張り
vigilant,[形]絶えず警戒している
vindicate,[動]嫌疑を晴らす
vindication,[名]弁明、正当性の立証
waive,[動]放棄する、差し控える
waiver,[名]放棄
wane,[名]減少、衰微
warden,[名]番人
warren,[名]ウサギの巣穴
watershed,[名]分水嶺
wayward,[形]わがままな
whack,[名]殴打
whiff,[名]一吹き、ぷんと来るにおい
whimsical,[形]気まぐれな
whine,[名]泣き言
whirlwind,[名]旋風
whisk,[名]泡立て器
whore,[名]売春婦、娼婦
wield,[動]用いる、行使する
windfall,[名]たなぼた
withdrawn,[形]内にこもった
wizard,[名]魔法使い
wobble,[名]ぐらつき、動揺
womb,[名]子宮
wrangle,[名]口論
wrath,[名]激怒
writ,[名]令状
zealot,[名]狂信者
zinc,[名]亜鉛
abate,[動]和らぐ、治まる
abdicate,[動]放棄する
abdominal,[形]腹部の
abhor,[動]ひどく嫌う
abhorrent,[形]大嫌いな、憎むべき
abject,[形]惨めな
abominable,[形]ひどい
abreast,[形]並んで
accede,[動]同意する
accession,[名]継承
acclamation,[名]拍手かっさい
accolade,[名]賞賛
acorn,[名]どんぐり
acquiescence,[名]黙って従うこと
acreage,[名]エーカー数、地所
acrid,[形]苦い
adage,[名]格言
adjourn,[動]休会にする、延期する
adjunct,[名]付属物
admonition,[名]忠告、警告
aegis,[名]保護
affectation,[名]ふりをすること、気取り
affront,[名]侮辱
afield,[形]故郷を遠く離れた
afoot,[形]徒歩で
aft,[形]後の
aggregation,[名]凝集、集合
agile,[形]機敏な
agrarian,[名]土地均分論者
ail,[名]苦しみ
airtight,[形]空気を通さない
alderman,[名]市会議員
algae,[名]藻、藻類
alignment,[名]調整
allay,[動]静める
allegory,[名]寓意物語、寓意、象徴
altercation,[名]口論
amalgamate,[動]合併する、融合する
amble,[名]アンブル
amenable,[名]従順な
amends,[名]償い
amity,[名]親善
amphibian,[名]両生動物
amphitheater,[名]円形競技場
ancillary,[名]補助者、付属物
angler,[名]魚釣りをする人
annexation,[名]併合、付加物
annihilate,[動]全滅させる
anorexia,[名]食欲不振
antagonize,[動]敵に回す
antecedent,[名]前例、前項、先祖
anteroom,[名]控えの間、待合室
antic,[名]おどけた仕草
antigen,[名]抗原
antiseptic,[名]防腐剤、消毒剤
antithesis,[名]対照、正反対、対照法
anvil,[名]金敷
aperture,[名]穴
apex,[名]頂点
apparition,[名]幽霊
appraise,[動]見積もる、評価する
arable,[名]耕作に適した土地
arbitration,[名]仲裁
armistice,[名]休戦
armpit,[名]腋の下
arousal,[名]覚醒
arsenic,[名]砒素
articulation,[名]結合、関節
artifice,[名]策略
assail,[名]襲撃する、悩ませる
assay,[名]検査、分析
assessor,[名]査定者、補佐役
assimilation,[名]同化
astern,[副]船尾に
asunder,[副]ばらばらに
atheist,[名]無神論者
atone,[動]償いをする
attire,[名]服装
augment,[動]増大させる、増やす
auspicious,[形]吉兆の
autism,[名]自閉症
auxiliary,[名]補助者
avarice,[名]強欲
averse,[形]嫌って
aviary,[名]鳥類飼育場
bale,[名]梱
ballast,[名]小石、砂利
balm,[名]香油
baloney,[名]たわ言
bandit,[名]盗賊
barrow,[名]手押し車
bashful,[形]内気な
batten,[名]床張り板、目板
beget,[動]こしらえる、生じさせる
belie,[動]偽って伝える、裏切る
benevolence,[名]慈悲心
bequeath,[動]遺言で譲る
bereaved,[名]遺族、後に残された者
berth,[名]寝台
beseech,[動]懇願する
biceps,[名]二頭筋
bilateral,[名]二者会談
bile,[名]胆汁
billow,[名]大波
binary,[名]2進数
binocular,[名]双眼鏡、双眼顕微鏡
bison,[名]バイソン
blanch,[動]青ざめる
blasphemy,[名]冒涜
blemish,[名]きず、汚点
blithe,[形]楽しげな、軽率な
bode,[動]前兆となる
borough,[名]自治都市
bountiful,[形]豊富な
bovine,[名]ウシ属の動物
breadwinner,[名]稼ぎ手
brevity,[名]短さ、簡潔さ
bridle,[名]拘束
bromide,[名]臭化物、陳腐な考え
bronchitis,[名]気管支炎
brunt,[名]主力
brusque,[形]ぶっきらぼうな、がさつな
buggy,[名]乳母車
bunk,[名]棚式寝台
buttock,[名]臀部
cactus,[名]サボテン
cadence,[名]リズム
callous,[名]皮膚のたこ
canopy,[名]天蓋
cant,[名]うわべだけの言葉
canteen,[名]食堂
canvass,[名]帆布
caprice,[名]気まぐれ、気まま
capricious,[形]気まぐれな、変わりやすい
carcinogen,[名]発癌物質
carousel,[名]回転木馬、回転ラック
casket,[名]小箱
cataclysm,[名]大変動
cataract,[名]白内障、混濁部
caustic,[名]火線、腐食薬
cavalier,[名]いんぎんな紳士
cavalry,[名]騎兵、騎兵隊
cavern,[名]洞窟
cessation,[名]休止
chaff,[名]もみがら
charlatan,[名]偽医者
chaste,[形]純潔な
chastise,[名]厳しく非難する
chauvinism,[名]熱狂的愛国主義
chivalry,[名]騎士道
chlorine,[名]塩素
chronology,[名]年代記、年表
chum,[名]仲良し
circumference,[名]円周
circumscribe,[動]制限する、抑える
circumspect,[形]用意周到な
cistern,[名]水槽、貯水池
citadel,[名]城、要塞
claimant,[名]原告
clairvoyant,[名]透視者
claustrophobia,[名]閉所恐怖症
cleavage,[名]裂開、分裂、卵割
cleave,[動]切り裂く、割る
clump,[名]群れ
coddle,[動]甘やかす
coerce,[動]強制する
coercion,[名]強制
cognition,[名]認知
colitis,[名]大腸炎
collusion,[名]共謀、談合
combustion,[名]燃焼
complainant,[名]原告
compliant,[形]従順な、素直な
compost,[名]堆肥
concave,[名]凹
conciliate,[動]なだめる
conciliatory,[形]和解の、懐柔的な
concomitant,[名]付随物
concordance,[名]一致
condescend,[動]恩着せがましく…する
condolence,[名]悔やみ、哀悼
confederation,[名]連合
confetti,[名]紙吹雪
confluence,[名]合流、合流点
congregate,[動]集まる
connotation,[名]含意
consecrate,[動]神聖にする、神に捧げる
conservatory,[名]音楽学校
consignment,[名]積荷、出荷品
constellation,[名]星座
consternation,[名]非常な驚き、狼狽
constipation,[名]便秘
constrict,[動]引き締める
consummation,[名]完成
contagion,[名]伝染病
contravene,[動]違反する、反する
convalescence,[名]回復
convulsion,[名]痙攣、発作
coop,[名]かご
copious,[形]豊富な、おびただしい
cordon,[名]非常線
corollary,[名]必然的な帰結
coroner,[名]検死官
corroboration,[名]確証
corrode,[動]腐食する、むしばむ
cot,[名]簡易寝台、吊り床
cove,[名]入り江
cower,[動]すくむ
creak,[名]キーキー鳴る音
crease,[名]ひだ、しわ
crevice,[名]割れ目
cringe,"[動]ぺこぺこする
crochet,[名]かぎ針編み
crucifixion,[名]キリストのはりつけ
crux,[名]最重要点、難問
crypt,[名]あなぐら、地下室
cryptic,[形]不可解な
curio,[名]骨董品
cursory,[形]大急ぎで行う、いい加減な
dab,[動]軽くたたく
daft,[形]ばかな、気のふれた
dally,[動]時間を浪費する
daub,[名]塗料
daunt,[動]ひるませる
deafening,[形]耳を聞こえなくするような
debit,[名]借方、借方記入
decadence,[名]堕落、頽廃期
decentralize,[動]分散化する
decimate,[動]多くを破壊する
decorum,[名]礼儀正しいこと、上品さ
decoy,[名]おとり
decrepit,[形]老朽化した
deforestation,[名]森林伐採
dejected,[形]落胆した
delineation,[名]描写
delinquency,[名]非行
delirious,[形]精神錯乱した
delirium,[名]精神錯乱
deliverance,[名]救出，救助
demarcation,[名]境界
demography,[名]人口統計学
demoralize,[動]士気をくじく
demure,[形]とりすました
denunciation,[名]非難
depletion,[名]枯渇
deplorable,[形]嘆かわしい、気の毒な
depraved,[形]堕落した
derelict,[名]遺棄物、遺棄船
derisive,[形]嘲笑的な
dermatologist,[名]皮膚科医
derogatory,[形]軽蔑的な
despondent,[形]失望した
despotic,[形]専制的な
destitution,[名]困窮
deterrence,[名]制止，阻止，引き止め
detest,[動]憎む
detour,[名]迂回、回り道
detract,[動]損なう
detriment,[名]損害
detrimental,[形]有害な
deviate,[動]それる，はずれる
devolution,[名]権限委譲
diabolic,[形]悪魔の
diagonal,[名]対角線
dialectic,[名]弁証法
dichotomy,[名]意見の相違
diction,[名]言葉遣い
diffident,[形]気後れしている
dike,[名]堤防
dilapidated,[形]荒れはてた、傾いた
dilate,[動]拡張する
dinghy,[名]救命ボート
dingy,[形]薄汚ない
discerning,[形]識別力のある
discomfiture,[名]困惑
discrete,[形]分離した，個別的な
disheveled,[形]だらしのない
dislodge,[動]取り出す、追い払う
dispensary,[名]薬局、医務室
dissect,[動]解剖する
disseminate,[動](情報を）広める
dissertation,[名]学位論文
dissipate,[動]散らす
dissonance,[名]不一致、不調和
distal,[形]末端の
divergent,[形]異なる
docile,[形]従順な
doldrums,[名]停滞状態
domicile,[名]住居、住所
douse,[動]水をぶっかける
downcast,[形]意気消沈した
dribble,[動]したたらせる、ドリブルする 
drizzle,[名]霧雨
drudgery,[名]単調でつらい仕事
duchy,[名]公爵領
dune,[名]砂丘
dung,[名]糞
earthen,[形]陶製の
eavesdrop,[動]盗み聞きする
ecclesiastical,[形]教会の、聖職者の
eddy,[名]反主流、渦
edify,[動]教化する
efface,[動]削除する
effervescent,[形]興奮した
egalitarian,[名]平等主義者
elation,[名]意気揚々
ellipse,[名]楕円
elucidate,[動]明らかにする
emancipate,[動]解放する
embankment,[名]堤防
embellish,[動]装飾する、飾り立てる
embezzle,[動]横領する、着服する
embroidery,[名]刺繍
embryonic,[形]胎児の、胚の
emissary,[名]使者、特使
encroach,[動]侵食する
engender,[動]引き起こす、発生させる
enjoin,[動]命じる、禁止する
enshrine,[動]祭る
enunciate,[動]明確に述べる
environs,[名]近郊
ephemeral,[名]きわめて短命なもの
epilepsy,[名] てんかん、癲癇
epitome,[名]典型、権化
epitomize,[動]典型的に示す
equestrian,[名]馬術家、曲馬師
escapade,[名]はめを外した行為
esophagus,[名]食道
esoteric,[名]秘教に通じた人、奥義
evict,[動]立ち退かせる
eviction,[名]追い立て
ewe,[名]雌羊
exasperation,[名]憤激
excavate,[動]発掘する
exchequer,[名]国庫
exemplar,[名]手本
exhortation,[名]激励
exorbitant,[形]法外な
exorcise,[動]払い清める
expedient,[形]好都合で
expedite,[動]促進する
exponent,[名]説明者，解釈者
expound,[動]明細に説く、説明する
extemporaneous,[形]即興の
extradite,[動]引き渡す
extricate,[動]解放する
extrovert,[名]外向的な人
exude,[動]しみ出す、発散する
fabrication,"[名]製作
facetious,[形]ふざけた
fallacy,[名]誤信、誤った考え
fastidious,[形]（口）うるさい
fauna,[名]動物区系
feasibility,[名]実行可能なこと
fern,[名]シダ、シダの茂み
fiend,[名]残忍な人
filial,[形]子の
filth,[名]汚物、不潔
finery,[名]華美な装飾
fir,[名] モミ 
fission,[名]分裂、分体、核分裂
fissure,[名]裂け目、割れ目
fitful,[形]断続的な
flabby,[形]たるんだ
flail,[名]麦打ち用からざお
fleece,[名]羊毛
flinch,[名]しりごみ
flippant,[形]軽薄な
flit,[名]引っ越し
flora,[名]植物相
fluctuate,[動]変動する、上下する
fluff,[名]綿毛
fluffy,[形]ふわふわした
fluoride,[名]フッ化物
foliage,[名]葉
foolhardy,[形]むこうみずな
foolproof,[形]絶対確実な
forage,[名]飼料
foreclose,[動]除外する
forfeit,[名]罰として失うもの、罰金
forgery,[名]偽造
forte,[名]得意なもの
fortitude,[名]堅忍，不屈の精神
foundry,[名]鋳造所
foyer,[名]玄関の広間
friar,[名]托鉢修道士
frock,[名]フロックコート
froth,[名]泡、内容のないもの
frugality,[名]倹約
fudge,[名]でたらめ
functionary,[名]職員
furlough,[名]休暇
furtive,[形]コソコソする
fuselage,[名]胴体
fussy,[形]小うるさい
futility,[名]むだ
galley,[名]ガレー船
garish,[形]けばけばしい
garnish,[名]付け合わせ
gaunt,[形]げっそりとやせた
gentile,[名]異邦人
genus,[名]属
germinate,[動]発芽する
gill,[名]えら
gilt,[名]金箔、金色
gird,[動]締める
glacial,[形]氷のように
glint,[名]きらめき
glucose,[名]ブドウ糖、グルコース
glutton,[名]大食家、凝り屋
goblin,[名]伝説上の鬼
gradient,[名]勾配、斜面
graphite,[名]石墨
grate,[名]火床
gratuitous,[形]心からの、無料の
gratuity,[名]チップ
groin,[名]鼠径(そけい)部
grubby,[形]汚れた
gullible,[形]だまされやすい
gully,[名]小峡谷
gurgle,[名]ゴボゴボ流れる音
gusto,[名]嗜好、心からの楽しみ
hackneyed,[形]ありふれた
haggard,[名]野生のタカ
hangar,[名]飛行機の格納庫
haphazard,[名]偶然
hark,[動]聴く
harrow,[名]まぐわ
hatchet,[名]手斧
hearsay,[名]噂
hedgehog,[名]ハリネズミ
hedonism,[名]快楽主義
hem,[名]へり
hemorrhage,[名]大出血
heretic,[名]異教徒
hermit,[名]世捨人
hiccup,[名]しゃっくり
hoarse,[形]しわがれ声の
hoist,[名]引き上げ
homogeneous,[形]同種の、同質の
humdrum,[形]単調な
husk,[名]殻、トウモロコシの皮
hypnosis,[名]催眠、催眠状態
ignoble,[形]下劣な、下品な
illustrious,[形]著名な
imbue,[動]浸透させる
immaculate,[形]完璧な、無傷の
immaterial,[形]関連のない
immemorial,[形]太古からの
immunize,[動]免疫性を与える
impassive,[形]無感動の
impel,[動]促す、強いて…させる
impersonate,[動]まねをする
impertinent,[形]無礼な
impervious,[形]影響されない、動じない
impetuous,[形]衝動的な
impinge,[動]侵害する、衝突する
impudent,[形]厚かましい
inadvertent,[形]不注意の
incandescent,[形]白熱光を発する
inception,[名]開始、発端
incinerator,[名]焼却炉
incongruity,[名]不一致
incongruous,[形]不調和の、釣り合わない
incredulous,[形]容易に信じない
incursion,[名]侵入、侵略
indemnity,[名]保護、免責、賠償金
indolent,[形]怠惰な
induction,[名]誘導
ineligible,[名]不適格者
inert,[形]不活性な
infallible,[名]絶対確実な人
infatuation,[名]夢中
infirm,[形]弱い
infirmity,[名]弱いこと
infringe,[動]侵害する
iniquity,[名]不正
inlaid,[形]はめ込まれた、象眼の
inlet,[名]入り江
innuendo,[名]当てこすり、注釈句
inquisitive,[形]詮索好きな
inscribe,[動]記す、彫る、記名する
inscrutable,[形]不可解な
insecticide,[名]殺虫剤
insipid,[形]味気ない
insolent,[名]横柄な人
insomnia,[名]不眠症
instigate,[動]けしかける、開始する
insular,[形]島国根性の
insulation,[名]断熱材
insurmountable,[形]乗り越えられない
intangible,[形]触れることのできない
interdisciplinary,[形]学際的な
interlock,[名]連結
interlude,[名]【楽】 間奏曲
interminable,[形]果てしない、長たらしい
intoxication,[名]（酒に）酔うこと
introspection,[名]自己反省
iris,[名]虹彩
irksome,[形]うんざりする
irredeemable,[名]買い戻しのできない
irrevocable,[形]取り消し不能の
itinerant,[形]巡回する
itinerary,[名]旅行計画. 
javelin,[名]投げ槍、槍投げ
jeer,[名]あざけり
jostle,[名]押し合い
jovial,[形]陽気な
jubilee,[名]記念祭
judicious,[形]賢明な
jut,[名]突起
juxtaposition,[名]並列、並置
keel,[名]キール
kerosene,[名]灯油
keynote,[名]主音、要旨、基調
kickback,[名]口きき料
kiln,[名]窯
kindred,[名]親族
kinetic,[形]運動の、動的な
knell,[名]凶兆
lagoon,[名]潟
lair,[名]ねぐら
laity,[名]平信徒
languid,[形]活気がない、気だるい
lateral,[名]側面
lathe,[名]旋盤
lattice,[名]格子、格子戸
laudable,[形]称賛に値する
lava,[名]溶岩
leaden,[形]鉛色の
ledger,[名]元帳
leech,[名]ヒル
legible,[形]読みやすい
lenient,[形]寛大な
lesion,[名]病変、損傷 損害
lethargic,[形]無気力な
ligament,[名]靭帯、きずな
liquidate,[動]清算する、解散する
lisp,[名]舌足らずの発音
listless,[形]無関心な、ものうげな
lithe,[形]しなやかな
litigant,[名]訴訟当事者
lobe,[名](葉などの)裂片
locus,[名]軌跡
loiter,[動]ぶらつく、ひまどる
longitude,[名]経度
lubricate,[動]油を差す、滑らかにする
lucid,[形]明快な、分かりやすい
lunge,[名]突き、突進
lusty,[形]性欲の強い、好色な
lynx,[名]オオヤマネコ
mackerel,[名]サバ
maggot,[名]ウジ虫
magnate,[名]有力者
malady,[名]病気
malevolent,[形]悪意のある
mane,[名]たてがみ
manipulator,[名]巧みに操作する人
matrimony,[名]結婚、夫婦関係
matron,[名]既婚婦人
membrane,[名]細胞膜
memento,[名]思い出の品
menial,[名]召し使い
mercenary,[名]傭兵
merriment,[名]陽気なお祭り騒ぎ
mirth,[名]歓楽
miscellaneous,[形]種々雑多な、その他の
mite,[名]少量、少々
moat,[名]堀
modulate,[動]調節する
molding,[名]造形
molest,[動]淫らなことをする
monastic,[名]修道士
moot,[動]議題にのせる
morose,[形]不機嫌な、気難しい
mortuary,[名]遺体安置室
muck,[名]ごみ、汚い物
muffle,[動]音を消す
mumps,[名]おたふくかぜ
municipality,[名]自治体、市当局
mutilate,[動]手足を切断する
mutiny,[名]反乱
muzzle,[名]口輪
narcissus,[名]スイセン
naught,[名]無価値
nave,[名]身廊
negate,[動]否定する
nettle,[名]イラクサ
neurosis,[名]ノイローゼ
nil,[名]無
nitrate,[名]硝酸塩
nocturnal,[形]夜行性の
node,[名]節、交点、節点
nomad,[名]遊牧民
nonchalant,[形]無関心な
nondescript,[名]特徴のないもの
nook,[名]隅
nostril,[名]鼻の穴
noxious,[形]有害な
nullify,[動]無効にする、取り消す
obituary,[名]死亡記事
oblique,[名]斜線
obstetrician,[名]産科医
obtrusive,[形]押しつけがましい
ode,[名]頌歌
offshoot,[名]副産物
ointment,[名]軟膏
omnipotent,[形]全能の
omniscient,[形]全知の
omnivorous,[形]雑食性の
oneness,[名]同一性
onerous,[形]煩わしい、面倒な
onlooker,[名]見物人
onus,[名]義務、負担、重荷
opinionated,[形]自説を固執する
optimal,[形]最良の
optimum,[名]最適条件
orator,[名]演説者、雄弁家
orchid,[名]ラン、ランの花
oscillate,[動]変動する
ostensible,[形]表向きの
ostentatious,[形]これみよがしの
ostracism,[名]追放
otter,[名]カワウソ
outlay,[名]支出、経費
outwit,[動]出し抜く
